Unique donor ID,Donor type,Amount,Donation Date,Donation source,Payment Method,Donor First Gift Date,Web Donation,Recurring Donation,Campaign week,Donor location
0011n00002Bnd7vAAB,Individuals,50.0,Microsoft.OleDb.Date,Fundraising Projects,Bank Transfer,Microsoft.OleDb.Date,0,,Week 11,Scotland
0011n00002Bnd7vAAB,Individuals,100.0,Microsoft.OleDb.Date,Fundraising Projects,Third party donation site,Microsoft.OleDb.Date,0,,Week 13,Scotland
0011n00002Bnc5eAAB,Individuals,250.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 11,Scotland
0011n00002BnbyaAAB,Individuals,10000.0,Microsoft.OleDb.Date,Double the Love fundraising ,Credit cards,Microsoft.OleDb.Date,0,,Week 1,Scotland
0011n00002BndLNAAZ,Individuals,200.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 1,Scotland
0011n00002BnbzDAAR,Individuals,20.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 9,Scotland
0011n00002BndLRAAZ,Individuals,200.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 3,Scotland
0011n00002Bnc7mAAB,Individuals,13.9,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 6,Scotland
0011n00002BndL3AAJ,Individuals,10.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 8,Scotland
0011n00002BndKSAAZ,Individuals,20.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 11,Scotland
0011n00002BndAKAAZ,Individuals,170.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 6,Scotland
0011n00002Bnbx9AAB,Individuals,25.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 7,Scotland
0011n00002BnbzDAAR,Individuals,30.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 5,Scotland
0011n00002BndBLAAZ,Individuals,50.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 1,Scotland
0011n00002Bnbx9AAB,Individuals,60.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 9,Scotland
0011n00002Bnd7lAAB,Individuals,50.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 11,Scotland
0011n00002BnbyaAAB,Individuals,4320.0,Microsoft.OleDb.Date,Double the Love fundraising ,Credit cards,Microsoft.OleDb.Date,0,,Week 12,Scotland
0011n00002Bnc89AAB,Individuals,30.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 6,Scotland
0011n00002Bnd9KAAR,Individuals,20.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 13,Scotland
0011n00002BndJzAAJ,Individuals,20.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 12,Scotland
0011n00002Bnc4CAAR,Individuals,27.8,Microsoft.OleDb.Date,Gift cards,Shopify,Microsoft.OleDb.Date,1,,Week 9,Scotland
0011n00002BnfFEAAZ,Individuals,100.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 1,Scotland
0011n00002BndBOAAZ,Individuals,300.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 3,Scotland
0011n00002Bnd9FAAR,Individuals,30.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 3,Scotland
0011n00002Bnd8BAAR,Individuals,30.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 2,Scotland
0011n00002Bnd8VAAR,Individuals,500.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 12,Scotland
0011n00002BnfFEAAZ,Individuals,100.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 7,Scotland
0011n00002Bnc9YAAR,Individuals,13.9,Microsoft.OleDb.Date,Media Appeal,Credit cards,Microsoft.OleDb.Date,0,,Week 9,England
0011n00002BnbyAAAR,Individuals,100.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002BncARAAZ,Individuals,20.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002Bng9rAAB,Individuals,211.0,Microsoft.OleDb.Date,Appeal letter,Cash,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002Bnc4IAAR,Individuals,100.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 3,England
0011n00002BnbwWAAR,Individuals,100.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 4,Scotland
0011n00002Bnc5nAAB,Individuals,20.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 12,Scotland
0011n00002Bnc44AAB,Individuals,150.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 10,Scotland
0011n00002BnbvvAAB,Individuals,500.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 11,England
0011n00002Bnc8oAAB,Individuals,250.2,Microsoft.OleDb.Date,Gift cards,Shopify,Microsoft.OleDb.Date,0,,Week 1,England
0011n00002BndC3AAJ,Individuals,20.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 1,Scotland
0011n00002Bnd8XAAR,Individuals,50.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 7,England
0011n00002Bnc8oAAB,Individuals,100.0,Microsoft.OleDb.Date,Gift cards,Shopify,Microsoft.OleDb.Date,0,,Week 8,England
0011n00002Bnc3qAAB,Individuals,20.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 2,Scotland
0011n00002Bnc6AAAR,Individuals,20.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 2,Scotland
0011n00002BndFoAAJ,Individuals,27.8,Microsoft.OleDb.Date,Gift cards,Shopify,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002Bng9qAAB,Individuals,27.8,Microsoft.OleDb.Date,Gift cards,Shopify,Microsoft.OleDb.Date,0,,Week 10,Scotland
0011n00002Bnc8gAAB,Individuals,250.0,Microsoft.OleDb.Date,Double the Love fundraising ,Credit cards,Microsoft.OleDb.Date,0,,Week 7,Scotland
0011n00002Bng9qAAB,Individuals,105.0,Microsoft.OleDb.Date,Gift cards,Shopify,Microsoft.OleDb.Date,0,,Week 3,Scotland
0011n00002Bnc2nAAB,Individuals,20.0,Microsoft.OleDb.Date,Double the Love fundraising ,Credit cards,Microsoft.OleDb.Date,0,,Week 11,Scotland
0011n00002Bnc63AAB,Individuals,100.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 12,Scotland
0011n00002BnfFeAAJ,Individuals,200.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 10,Scotland
0011n00002BndImAAJ,Individuals,100.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 3,Scotland
0011n00002Bnd8KAAR,Individuals,50.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 1,Scotland
0011n00002Bnc6xAAB,Individuals,100.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 12,Scotland
0011n00002Bo4OtAAJ,Individuals,45.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 7,Scotland
0011n00002Bnc8FAAR,Individuals,300.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 13,Scotland
0011n00002Bnc9HAAR,Individuals,50.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002HgP3sAAF,Individuals,50.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 2,Scotland
0011n00002Bnc9nAAB,Individuals,25.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 8,Scotland
0011n00002BnfG2AAJ,Individuals,100.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002BneYGAAZ,Individuals,14.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 9,Scotland
0011n00002BnfGWAAZ,Individuals,695.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 3,Scotland
0011n00002BngJiAAJ,Individuals,50.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 4,England
0011n00002BnfHeAAJ,Individuals,41.7,Microsoft.OleDb.Date,Gift cards,Shopify,Microsoft.OleDb.Date,1,,Week 2,Scotland
0011n00002Bnc8lAAB,Individuals,20.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 3,Scotland
0011n00002BnfHbAAJ,Individuals,500.0,Microsoft.OleDb.Date,Appeal letter,Business Cheque,Microsoft.OleDb.Date,0,,Week 8,Scotland
0011n00002BnfHsAAJ,Individuals,50.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 3,Scotland
0011n00002BnfHeAAJ,Individuals,100.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 2,Scotland
0011n00002BnfGcAAJ,Individuals,25.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 13,England
0011n00002Bo1M7AAJ,Groups & Associations,2000.2,Microsoft.OleDb.Date,Double the Love fundraising ,Bank Transfer,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,2000.0,Microsoft.OleDb.Date,Double the Love fundraising ,Bank Transfer,Microsoft.OleDb.Date,0,,Week 1,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,60.69,Microsoft.OleDb.Date,Double the Love fundraising ,Cash,Microsoft.OleDb.Date,0,,Week 9,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,58.97,Microsoft.OleDb.Date,Double the Love fundraising ,Bank Transfer,Microsoft.OleDb.Date,0,,Week 7,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,500.0,Microsoft.OleDb.Date,Volunteer talk,Bank Transfer,Microsoft.OleDb.Date,0,,Week 5,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,100.0,Microsoft.OleDb.Date,Double the Love fundraising ,Bank Transfer,Microsoft.OleDb.Date,0,,Week 8,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,8.88,Microsoft.OleDb.Date,Double the Love fundraising ,Bank Transfer,Microsoft.OleDb.Date,0,,Week 7,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,1000.0,Microsoft.OleDb.Date,Double the Love fundraising ,Bank Transfer,Microsoft.OleDb.Date,0,,Week 8,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,150.0,Microsoft.OleDb.Date,Double the Love fundraising ,Bank Transfer,Microsoft.OleDb.Date,0,,Week 3,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,56.5,Microsoft.OleDb.Date,Double the Love fundraising ,Bank Transfer,Microsoft.OleDb.Date,0,,Week 3,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,1631.38,Microsoft.OleDb.Date,Double the Love fundraising ,Bank Transfer,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,12.32,Microsoft.OleDb.Date,Offline donation,Bank Transfer,Microsoft.OleDb.Date,0,,Week 1,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,86.77,Microsoft.OleDb.Date,Offline donation,Bank Transfer,Microsoft.OleDb.Date,0,,Week 1,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,260.0,Microsoft.OleDb.Date,Double the Love fundraising ,Bank Transfer,Microsoft.OleDb.Date,0,,Week 5,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,50.0,Microsoft.OleDb.Date,Double the Love fundraising ,Bank Transfer,Microsoft.OleDb.Date,0,,Week 5,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,1000.0,Microsoft.OleDb.Date,Double the Love fundraising ,Bank Transfer,Microsoft.OleDb.Date,0,,Week 11,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,60.0,Microsoft.OleDb.Date,Volunteer talk,Bank Transfer,Microsoft.OleDb.Date,0,,Week 13,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,43.12,Microsoft.OleDb.Date,Double the Love fundraising ,Bank Transfer,Microsoft.OleDb.Date,0,,Week 13,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,27.37,Microsoft.OleDb.Date,Double the Love fundraising ,Bank Transfer,Microsoft.OleDb.Date,0,,Week 13,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,124.41,Microsoft.OleDb.Date,Double the Love fundraising ,Bank Transfer,Microsoft.OleDb.Date,0,,Week 13,Scotland
0011n00002Bo1M7AAJ,Groups & Associations,600.0,Microsoft.OleDb.Date,Double the Love fundraising ,Bank Transfer,Microsoft.OleDb.Date,0,,Week 13,Scotland
0011n00002Bnc4bAAB,Individuals,100.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 11,Scotland
0011n00002BnePaAAJ,Individuals,20.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 3,Scotland
0011n00002BnhG3AAJ,Individuals,50.0,Microsoft.OleDb.Date,Gift cards,Shopify,Microsoft.OleDb.Date,0,,Week 1,Scotland
0011n00002BndE6AAJ,Individuals,2000.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 2,England
0011n00002Bo2EhAAJ,Faith Groups,100.0,Microsoft.OleDb.Date,Offline donation,Cheques,Microsoft.OleDb.Date,0,,Week 4,Scotland
0011n00002BnbyeAAB,Individuals,50.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 1,Scotland
0011n00002Bnc3WAAR,Individuals,25.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 9,Scotland
0011n00002Bnc88AAB,Individuals,50.0,Microsoft.OleDb.Date,Offline donation,Cheques,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002BndH3AAJ,Individuals,300.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 1,England
0011n00002BneRyAAJ,Individuals,50.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002BnW6XAAV,Companies,4000.0,Microsoft.OleDb.Date,Offline donation,Cheques,Microsoft.OleDb.Date,0,,Week 13,Scotland
0011n00002BnW6XAAV,Companies,2000.0,Microsoft.OleDb.Date,Offline donation,Cheques,Microsoft.OleDb.Date,0,,Week 13,Scotland
0011n00002BndCEAAZ,Individuals,50.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 9,Scotland
0011n00002BndIeAAJ,Individuals,30.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 8,Scotland
0011n00002BndIeAAJ,Individuals,50.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002BndJbAAJ,Individuals,20.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 3,Scotland
0011n00002BneTPAAZ,Individuals,80.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002BneT0AAJ,Individuals,10.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 9,Scotland
0011n00002BneT5AAJ,Individuals,50.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 3,Scotland
0011n00002BneTNAAZ,Individuals,20.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002BnbyQAAR,Individuals,20.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 5,Scotland
0011n00002BneTNAAZ,Individuals,25.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 10,Scotland
0011n00002EB31iAAD,Individuals,30.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 3,Scotland
0011n00002BneTXAAZ,Individuals,25.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 8,Scotland
0011n00002BndCkAAJ,Individuals,100.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 3,Scotland
0011n00002BnbzgAAB,Individuals,5.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002Bo13UAAR,Faith Groups,8.86,Microsoft.OleDb.Date,Sponsor a School projects,Bank Transfer,Microsoft.OleDb.Date,0,,Week 9,Scotland
0011n00002BnbzgAAB,Individuals,5.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 12,Scotland
0011n00002BndHXAAZ,Individuals,200.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 12,Scotland
0011n00002BnfIVAAZ,Individuals,20.0,Microsoft.OleDb.Date,Appeal letter,Direct Debit,Microsoft.OleDb.Date,0,yes,Week 11,England
0011n00002BnfIJAAZ,Individuals,101.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 7,Scotland
0011n00002Bnc3PAAR,Individuals,41.7,Microsoft.OleDb.Date,Gift cards,Shopify,Microsoft.OleDb.Date,0,,Week 3,Scotland
0011n00002Bnc8QAAR,Individuals,30.0,Microsoft.OleDb.Date,Double the Love fundraising ,Credit cards,Microsoft.OleDb.Date,0,,Week 8,Scotland
0011n00002Bnc8QAAR,Individuals,30.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 3,Scotland
0011n00002BneRXAAZ,Individuals,250.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 1,Scotland
0011n00002BndDHAAZ,Individuals,44.84,Microsoft.OleDb.Date,Fundraising Projects,Bank Transfer,Microsoft.OleDb.Date,0,,Week 6,England
0011n00002BndHzAAJ,Individuals,300.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 2,Scotland
0011n00002BndB8AAJ,Individuals,15.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 8,Scotland
0011n00002BneToAAJ,Individuals,50.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 4,Scotland
0011n00002BndJ3AAJ,Individuals,20.0,Microsoft.OleDb.Date,Appeal letter,Cash,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002BneTrAAJ,Individuals,50.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 12,Scotland
0011n00002Bnc3QAAR,Individuals,40.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 13,Scotland
0011n00002Bnc0WAAR,Individuals,20.0,Microsoft.OleDb.Date,Appeal letter,Cash,Microsoft.OleDb.Date,0,,Week 12,Scotland
0011n00002BndFAAAZ,Individuals,20.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 11,Scotland
0011n00002Bo4ODAAZ,Individuals,100.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 5,Scotland
0011n00002Bo4ODAAZ,Individuals,50.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 13,Scotland
0011n00002Bnc5yAAB,Individuals,50.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 3,England
0011n00002Bnc2YAAR,Individuals,40.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002BneUhAAJ,Individuals,30.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 12,Scotland
0011n00002BneUUAAZ,Individuals,100.0,Microsoft.OleDb.Date,Double the Love fundraising ,Credit cards,Microsoft.OleDb.Date,0,,Week 11,Scotland
0011n00002BneUbAAJ,Individuals,50.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 8,England
0011n00002BneUUAAZ,Individuals,50.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 13,Scotland
0011n00002BneUUAAZ,Individuals,100.0,Microsoft.OleDb.Date,Double the Love fundraising ,Credit cards,Microsoft.OleDb.Date,0,,Week 7,Scotland
0011n00002Bnc7AAAR,Individuals,40.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 7,Scotland
0011n00002BneV5AAJ,Individuals,200.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 1,Scotland
0011n00002BndC1AAJ,Individuals,100.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 8,Scotland
0011n00002BneUuAAJ,Individuals,10.0,Microsoft.OleDb.Date,Double the Love fundraising ,Direct Debit,Microsoft.OleDb.Date,0,yes,Week 5,Scotland
0011n00002BnbwYAAR,Individuals,10.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 7,Scotland
0011n00002Bo0X8AAJ,Groups & Associations,105.0,Microsoft.OleDb.Date,Double the Love fundraising ,Bank Transfer,Microsoft.OleDb.Date,0,,Week 3,England
0011n00002BneQ4AAJ,Individuals,150.0,Microsoft.OleDb.Date,Fundraising Projects,Bank Transfer,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002Bo0X8AAJ,Groups & Associations,80.0,Microsoft.OleDb.Date,Appeal letter,Bank Transfer,Microsoft.OleDb.Date,0,,Week 1,England
0011n00002BndHaAAJ,Individuals,500.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 7,England
0011n00002BndECAAZ,Individuals,25.0,Microsoft.OleDb.Date,Appeal letter,Stewardship,Microsoft.OleDb.Date,0,,Week 13,Scotland
0011n00002BneUuAAJ,Individuals,10.0,Microsoft.OleDb.Date,Double the Love fundraising ,Direct Debit,Microsoft.OleDb.Date,0,yes,Week 9,Scotland
0011n00002BneUvAAJ,Individuals,10.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 13,Scotland
0011n00002Bnc7QAAR,Individuals,50.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 13,Scotland
0011n00002Bnbx3AAB,Individuals,50.0,Microsoft.OleDb.Date,Double the Love web page,Credit cards,Microsoft.OleDb.Date,1,,Week 3,Scotland
0011n00002BneQEAAZ,Individuals,50.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 3,Scotland
0011n00002Bnc4cAAB,Individuals,20.0,Microsoft.OleDb.Date,Double the Love fundraising ,Cheques,Microsoft.OleDb.Date,0,,Week 1,Scotland
0011n00002Bnc1fAAB,Individuals,1100.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 2,Scotland
0011n00002Bnc1fAAB,Individuals,1000.0,Microsoft.OleDb.Date,Appeal letter,Cheques,Microsoft.OleDb.Date,0,,Week 6,Scotland
